Location,Maker,Model,Year,Colour,Amount (Million Naira),Type,Distance
Lagos,Toyota,Corolla,2011,Silver,4.39,foreign used,65470.0
Ibadan,Toyota,Corolla S,2007,Blue,1.9,nigerian used,189632.0
Abuja,Peugeot,504,2004,Yellow,1.4,nigerian used,112366.0
Lagos,Toyota,Venza XLE AWD,2013,Gray,9.5,foreign used,88123.0
Lagos,Acura,MDX,2012,Black,6.0,foreign used,72366.0
Lagos,Toyota,Venza XLE AWD,2013,White,12.0,foreign used,75365.0
Abuja,Honda,CR-V EX-L AWD,2020,Gray,13.9,foreign used,72366.0
Ibadan,Toyota,Camry,2012,White,4.7,foreign used,98000.0
Ibadan,Lexus,RX 350,2010,Gray,9.1,foreign used,72366.0
Lagos,Toyota,Highlander Limited,2009,Green,7.65,foreign used,80000.0
Lagos,Honda,Accord Sedan EX-L V-6,2010,Black,2.25,nigerian used,149189.0
Lagos,Toyota,Camry,2013,White,6.2,foreign used,62745.0
Abuja,Mercedes-Benz,S-Class S 63 AMG (W222),2016,Black,40.0,foreign used,43000.0
Lagos,Mercedes-Benz,GL-Class GL 450,2007,Black,4.5,foreign used,72366.0
Abuja,Toyota,Corolla,2004,White,2.3,nigerian used,112366.0
Abuja,Peugeot,206,2005,Blue,1.63,nigerian used,112366.0
Lagos,Lexus,GX 460 Luxury,2018,White,27.0,foreign used,30121.0
Abuja,Toyota,Highlander,2015,Black,12.5,foreign used,72366.0
Lagos,Toyota,Camry 2.4 LE,2008,Silver,3.2,foreign used,94580.0
Abuja,Toyota,Corolla LE,2005,Black,2.0,nigerian used,112366.0
Lagos,Lexus,RX 350,2010,Black,10.69,foreign used,95486.0
Abuja,Toyota,Corolla,2016,Gray,6.7,foreign used,35000.0
Abuja,Toyota,Camry,2008,Silver,2.2,nigerian used,128881.0
Abuja,Toyota,Camry,2010,Black,2.4,nigerian used,121362.0
Lagos,Toyota,Camry,2009,Gray,3.4,foreign used,72366.0
Abuja,Honda,Odyssey LX,2009,Gray,3.38,foreign used,136130.0
Ibadan,Ford,Explorer,2013,Blue,9.56,nigerian used,88734.0
Lagos,Hyundai,Sonata,2009,Black,1.8,foreign used,164003.0
Abuja,Lexus,LX 570 (5 Seats) AWD,2021,Black,87.5,brand new,811.0
Lagos,Lexus,ES,2015,Black,9.8,foreign used,72366.0
Lagos,Mercedes-Benz,E350,2008,Silver,4.25,foreign used,72366.0
Abuja,Toyota,Highlander Sport,2009,Gold,5.3,nigerian used,68000.0
Lagos,Lexus,ES 350,2008,Red,5.25,foreign used,76345.0
Abuja,BMW,X3 2.5si Exclusive Automatic,2008,Gold,5.5,foreign used,72366.0
Abuja,Toyota,Avanza,2011,Gray,6.7,foreign used,68000.0
Lagos,Toyota,Tundra,2016,White,23.0,foreign used,23000.0
Abuja,Hyundai,I10,2015,Gray,2.7,nigerian used,112366.0
Lagos,Lexus,IS 250,2008,Blue,2.81,nigerian used,112068.0
Lagos,Lexus,GX 460 Luxury,2020,White,35.5,foreign used,6000.0
Lagos,Lexus,LX,2019,Gray,58.0,foreign used,72366.0
Lagos,Mercedes-Benz,E300,2021,Black,66.5,brand new,42.0
Abuja,Mercedes-Benz,E350,2013,Gray,12.5,foreign used,45264.0
Lagos,Lexus,RX,2012,Gold,10.8,foreign used,64000.0
Abuja,Toyota,Camry,2015,Black,5.16,foreign used,86280.0
Abuja,Lexus,GX 470 Sport Utility,2005,Silver,6.0,foreign used,99000.0
Lagos,Toyota,Sequoia,2004,Green,3.58,foreign used,96523.0
Lagos,Toyota,Yaris,2014,Black,4.5,nigerian used,308916.0
Lagos,Lexus,RX,2002,Black,3.3,foreign used,72366.0
Abuja,Lexus,ES 350,2008,Gray,3.5,nigerian used,52588.0
Abuja,Toyota,Camry 2.4 XLE,2008,Silver,2.2,nigerian used,112366.0
Lagos,Ford,Edge,2011,Black,2.59,nigerian used,182031.0
Abuja,Lexus,NX,2017,White,17.0,foreign used,41576.0
Lagos,Toyota,Camry SE FWD (2.5L 4cyl 8AM),2018,Silver,14.5,foreign used,35688.0
Abuja,Mercedes-Benz,CLA-Class,2015,Silver,7.5,nigerian used,68000.0
Abuja,Toyota,Land Cruiser Prado,2014,Black,16.31,nigerian used,95945.0
Abuja,Toyota,Avalon,2019,Black,32.0,brand new,25.0
Lagos,Chevrolet,Uplander,2008,Gray,1.15,foreign used,75538.0
Abuja,Toyota,RAV4,2015,Black,9.5,foreign used,63738.0
Lagos,Toyota,Camry,2007,Green,3.8,foreign used,114034.0
Abuja,Toyota,Camry,2014,White,5.1,foreign used,72366.0
Abuja,Toyota,Camry,2013,Silver,5.5,foreign used,156764.0
Abuja,Toyota,Avalon Touring,2007,Silver,3.2,foreign used,100000.0
Lagos,Lexus,ES 350,2007,Black,3.25,nigerian used,65555.0
Lagos,Lexus,ES 350,2008,Gray,4.45,foreign used,88000.0
Abuja,Toyota,Camry,2018,Gray,13.2,foreign used,61796.0
Abuja,Toyota,Camry,2008,Silver,2.3,nigerian used,112366.0
Abuja,Honda,Civic LX Coupe Automatic,2012,Black,3.4,foreign used,45212.0
Lagos,Lexus,RX 350 AWD,2013,Gray,11.8,foreign used,75000.0
Lagos,Lexus,ES 350,2010,Black,6.25,foreign used,72366.0
Lagos,Toyota,Camry,2012,Red,5.8,foreign used,72366.0
Lagos,Toyota,Tundra Double Cab 4x4 Limited,2011,Black,10.0,foreign used,98000.0
Lagos,Lexus,GS 300 Automatic Off,2006,White,3.15,foreign used,210836.0
Lagos,Toyota,Highlander Sport,2006,Silver,4.3,foreign used,72366.0
Ibadan,Toyota,Avensis 2 D-4d Executive,2005,Gold,2.85,foreign used,167700.0
Lagos,Lexus,RX 350,2008,Blue,5.5,foreign used,140444.0
Lagos,Honda,Accord Crosstour EX,2012,Brown,3.94,nigerian used,39002.0
Lagos,Mercedes-Benz,M Class ML 350 4Matic,2012,Gray,11.8,foreign used,72366.0
Abuja,Toyota,Hilux,2020,White,25.0,foreign used,13175.0
Lagos,Lexus,RX,2013,White,9.0,foreign used,72366.0
Lagos,Mercedes-Benz,M Class ML 350 4Matic,2007,Gold,4.9,foreign used,98565.0
Lagos,Toyota,Venza AWD,2010,Blue,7.5,foreign used,72366.0
Abuja,Toyota,Fortuner,2020,White,28.0,brand new,1000.0
Lagos,Toyota,Tundra,2016,Orange,25.5,foreign used,72366.0
Ibadan,Ford,Edge,2010,Gray,3.2,nigerian used,112366.0
Ibadan,Mercedes-Benz,C300,2015,Black,13.5,foreign used,113731.0
Lagos,Kia,Cerato,2013,Black,1.69,nigerian used,201728.0
Abuja,Audi,S5,2019,Black,43.0,foreign used,23142.0
Lagos,Toyota,4-Runner SR5 2WD,2010,Black,12.0,foreign used,87159.0
Abuja,Toyota,Corolla,2010,Green,2.75,nigerian used,112366.0
Lagos,Lexus,GX 470 Sport Utility,2005,Gray,6.45,foreign used,86495.0
Lagos,Lexus,RX 350 2WD,2020,Gray,32.0,foreign used,72366.0
Abuja,Ford,Explorer 4 Sport Track Automatic,2002,Gray,1.01,nigerian used,392793.0
Abuja,Toyota,Camry XLE V6 FWD,2020,Black,19.8,brand new,2000.0
Lagos,Lexus,IS,2006,Gold,3.8,foreign used,72366.0
Abuja,Toyota,Camry,2013,Black,4.7,foreign used,72366.0
Ibadan,Toyota,Corolla,2008,Silver,2.03,nigerian used,91701.0
Abuja,Honda,CR-V,2013,Blue,7.5,foreign used,51000.0
Lagos,Mercedes-Benz,GL-Class GL 450,2009,Black,7.0,foreign used,130000.0
Abuja,Mercedes-Benz,C400,2015,Black,15.5,nigerian used,67123.0
Lagos,Lexus,IS 250 AWD Automatic,2012,Silver,5.65,foreign used,63000.0
Ibadan,Lexus,ES 350,2011,Gray,6.3,foreign used,78000.0
Abuja,Kia,Forte EX,2010,Black,3.0,foreign used,40675.0
Lagos,Honda,Accord,2009,Black,2.25,nigerian used,148264.0
Abuja,Jaguar,F-Type 400 Sport AWD Convertible,2018,Black,25.0,foreign used,72366.0
Abuja,Toyota,Sienna,2006,Gray,3.82,foreign used,163287.0
Lagos,Acura,MDX,2011,White,6.3,foreign used,55396.0
Lagos,Lexus,ES 350,2008,Red,4.7,foreign used,87000.0
Lagos,Mercedes-Benz,GLE43,2018,Black,44.0,foreign used,72366.0
Abuja,Toyota,Corolla,2013,Red,2.7,nigerian used,69000.0
Lagos,Toyota,Highlander Limited V6,2005,Blue,4.65,foreign used,52814.0
Ibadan,Nissan,Pathfinder LE 4x4,2006,Black,2.9,foreign used,72366.0
Abuja,BMW,X3,2013,Red,5.4,nigerian used,114427.0
Lagos,Lexus,ES,2007,Black,3.35,foreign used,23568.0
Abuja,Toyota,Tacoma,2017,Silver,24.0,foreign used,40000.0
Lagos,Lexus,GX 470 Sport Utility,2007,Silver,6.6,foreign used,82000.0
Abuja,Toyota,Highlander,2016,Brown,14.0,foreign used,83151.0
Lagos,Acura,RDX Off,2017,White,14.0,foreign used,60000.0
Lagos,Lexus,ES 350,2010,Gray,5.8,foreign used,75000.0
Lagos,Toyota,Camry,2011,Black,5.4,foreign used,87500.0
Abuja,Mercedes-Benz,E350,2010,Black,5.5,nigerian used,112366.0
Lagos,Lexus,GX 470 Sport Utility,2007,Silver,6.8,foreign used,63852.0
Ibadan,Toyota,Avensis Wagon,2005,Green,2.1,foreign used,112000.0
Lagos,Lexus,RX 330 AWD,2006,White,4.95,foreign used,72366.0
Abuja,Toyota,Camry,2010,Silver,4.3,foreign used,72366.0
Abuja,BMW,X7 xDrive50i,2019,Black,120.0,foreign used,2540.0
Lagos,Lexus,RX 350,2010,Gray,8.8,foreign used,93368.0
Lagos,Ford,Edge SE 4dr FWD (3.5L 6cyl 6A),2007,Black,3.04,foreign used,467397.0
Ibadan,Nissan,Pathfinder,2002,Black,1.01,nigerian used,338106.0
Abuja,Toyota,Venza V6 AWD,2010,Gray,5.9,nigerian used,123769.0
Abuja,Mercedes-Benz,E300,2017,Black,16.5,nigerian used,112366.0
Abuja,Toyota,Land Cruiser 5.7 V8 VXR,2020,Black,49.5,brand new,811.0
Lagos,Toyota,Highlander V6 4x4,2005,White,3.8,foreign used,72366.0
Abuja,Toyota,Corolla,2009,Green,3.85,foreign used,84645.0
Lagos,Toyota,Camry,2019,Red,9.75,foreign used,6575.0
Ibadan,Kia,Optima,2014,Silver,3.7,foreign used,72366.0
Lagos,Kia,Rio,2013,Silver,1.65,nigerian used,81106.0
Lagos,Lexus,GX,2008,Gold,8.65,foreign used,72366.0
Lagos,Toyota,Camry,2005,Green,2.81,foreign used,303093.0
Abuja,Toyota,RAV4 Limited,2008,White,2.5,nigerian used,112366.0
Lagos,Mercedes-Benz,C250,2014,Black,8.0,foreign used,72366.0
Abuja,Toyota,Camry,2011,Red,3.95,foreign used,90000.0
Ibadan,Toyota,Corolla 1.6 VVT-i,2006,Blue,1.13,nigerian used,147635.0
Abuja,Ford,Escape,2009,Black,2.3,nigerian used,65000.0
Abuja,Hyundai,I10 1.2,2012,Black,1.6,nigerian used,130521.0
Abuja,Infiniti,JX,2013,Red,4.5,nigerian used,75000.0
Lagos,Lexus,GX 460 Luxury,2016,White,27.0,foreign used,65000.0
Abuja,Mercedes-Benz,E55,2021,Black,76.5,brand new,811.0
Lagos,Mercedes-Benz,GLK-Class 350 4MATIC,2013,Gray,11.5,foreign used,62408.0
Lagos,Lexus,RX 350,2010,Gray,9.5,foreign used,74690.0
Abuja,Honda,Accord,2008,White,4.2,foreign used,72366.0
Ibadan,Toyota,Highlander Sport,2008,Gray,5.7,foreign used,85000.0
Ibadan,Toyota,Corolla,2011,Silver,4.3,foreign used,79000.0
Abuja,Porsche,Cayenne,2013,Black,20.0,foreign used,91651.0
Ibadan,Toyota,Camry,2008,Black,2.4,nigerian used,786123.0
Abuja,Toyota,Highlander V6,2005,Red,2.3,nigerian used,112366.0
Abuja,Mercedes-Benz,GLK-Class,2012,Blue,7.7,nigerian used,42153.0
Lagos,Lexus,RX 330,2005,Blue,5.2,foreign used,125808.0
Abuja,Mercedes-Benz,GLS-Class GLS450 4MATIC,2019,White,48.0,foreign used,18452.0
Abuja,Toyota,Camry XSE FWD (2.5L 4cyl 8AM),2018,White,17.5,foreign used,56000.0
Lagos,Mercedes-Benz,X Class,2020,Black,74.0,foreign used,5423.0
Lagos,Lexus,IS 250,2008,Black,4.1,foreign used,87000.0
Abuja,Toyota,Camry,2014,Black,5.65,nigerian used,112366.0
Abuja,Toyota,Corolla,2015,Silver,4.3,nigerian used,67733.0
Lagos,Lexus,ES 350,2008,Gold,4.8,foreign used,72366.0
Lagos,Lexus,RX 350,2010,Gray,8.85,foreign used,99675.0
Abuja,Lexus,IS,2006,Pink,2.08,foreign used,113231.0
Lagos,Mercedes-Benz,M Class ML 350 4Matic,2012,Gray,12.0,foreign used,153000.0
Abuja,Toyota,Camry,2002,Brown,2.8,foreign used,136214.0
Abuja,Hyundai,Sonata,2013,Gray,2.95,nigerian used,101000.0
Lagos,Toyota,Camry,2007,White,3.8,foreign used,84508.0
Lagos,Mercedes-Benz,GLK-Class 350 4MATIC,2010,Green,7.3,foreign used,86038.0
Lagos,Toyota,Sequoia,2010,Gray,10.7,foreign used,68529.0
Abuja,Peugeot,3008,2020,Gray,21.0,foreign used,38454.0
Abuja,Mercedes-Benz,C400,2015,White,14.0,nigerian used,112366.0
Lagos,Lexus,IS 250,2010,White,4.6,foreign used,79000.0
Abuja,Toyota,Camry,2010,Gray,3.5,foreign used,87071.0
Lagos,Lexus,LX 570 (5 seats) AWD,2016,Black,53.0,foreign used,72366.0
Abuja,Ford,Ranger,2017,Black,10.0,foreign used,41358.0
Lagos,Lexus,ES 350 FWD,2013,Black,8.65,foreign used,98523.0
Abuja,Toyota,Camry,2016,Silver,6.5,foreign used,65923.0
Abuja,Mercedes-Benz,M Class ML 350 4Matic,2008,Black,3.6,nigerian used,112366.0
Lagos,Fiat,Fullback,2004,Black,1.62,foreign used,319568.0
Lagos,Toyota,Highlander,2018,Silver,20.5,foreign used,72366.0
Abuja,Mercedes-Benz,E550,2010,Black,10.0,foreign used,72366.0
Abuja,Land Rover,Range Rover,2012,White,10.0,nigerian used,112366.0
Lagos,Toyota,Highlander,2015,White,14.5,foreign used,81000.0
Abuja,Mercedes-Benz,GLA-Class,2016,Black,10.0,nigerian used,55000.0
Abuja,Toyota,Camry SE FWD (2.5L 4cyl 8AM),2018,Silver,12.5,foreign used,27627.0
Lagos,Lexus,RX,2019,White,23.5,foreign used,72366.0
Ibadan,Toyota,Corolla,2011,Gray,4.2,foreign used,128365.0
Lagos,Lexus,RX 350 F Sport AWD,2016,Black,22.5,foreign used,72366.0
Abuja,Lexus,IS 250 4WD,2015,Silver,10.5,foreign used,52609.0
Abuja,Toyota,Corolla,2004,Blue,1.65,nigerian used,65000.0
Lagos,Lexus,RX 350,2010,Black,8.8,foreign used,742111.0
Lagos,Lexus,IS 250 AWD,2007,Black,4.2,foreign used,85085.0
Lagos,Lexus,RX 350 AWD,2009,Silver,6.5,foreign used,72366.0
Lagos,Lexus,LX 570 (5 Seats) AWD,2021,White,122.0,foreign used,72366.0
Abuja,Lexus,RX,2008,Gray,3.45,nigerian used,155000.0
Abuja,Maserati,Ghibli,2014,Brown,29.5,foreign used,27000.0
Lagos,Toyota,Tundra,2005,Silver,6.25,foreign used,72366.0
Abuja,Toyota,Corolla,2015,Gray,6.95,foreign used,72366.0
Abuja,Ford,F-150,2009,White,8.3,foreign used,63000.0
Lagos,Dodge,Charger,2014,Silver,8.5,foreign used,72366.0
Abuja,Toyota,Corolla,2010,Red,3.25,nigerian used,157235.0
Lagos,Lexus,ES 350,2010,White,6.05,foreign used,75000.0
Abuja,Toyota,Corolla Liftback,2005,Silver,2.85,foreign used,72366.0
Abuja,Land Rover,Range Rover Evoque,2015,White,14.5,foreign used,72366.0
Abuja,Mercedes-Benz,GL-Class GL 450,2013,Black,10.5,foreign used,72366.0
Lagos,Lexus,RX 350 AWD,2008,Silver,5.88,foreign used,113052.0
Lagos,Maserati,Levante,2017,White,38.0,foreign used,25791.0
Abuja,Volkswagen,Passat,2012,Black,2.65,nigerian used,88000.0
Lagos,Toyota,Camry,2007,Black,3.45,foreign used,153000.0
Lagos,Lexus,GX 460 Base,2018,White,28.5,foreign used,4674.0
Abuja,Honda,Accord,2017,Gray,5.85,nigerian used,112366.0
Abuja,Mercedes-Benz,E350,2016,Gray,13.2,foreign used,72366.0
Abuja,BMW,535i,2015,Black,8.5,nigerian used,112366.0
Lagos,Acura,MDX,2008,Gray,3.9,foreign used,72366.0
Lagos,Mercedes-Benz,GLE43,2018,Black,42.7,foreign used,72366.0
Ibadan,Toyota,Highlander Sport,2010,Silver,6.5,foreign used,68000.0
Lagos,Land Rover,Range ROVER,2006,Black,3.37,foreign used,192232.0
Abuja,Toyota,Coaster,2012,White,6.8,nigerian used,132410.0
Ibadan,Lexus,ES 300,2000,Gold,1.6,foreign used,99000.0
Lagos,Lexus,GX 460 Base,2014,Gray,18.0,foreign used,75464.0
Abuja,Toyota,Camry,2017,Gray,7.9,foreign used,46250.0
Lagos,Hyundai,Elantra,2011,Blue,2.8,nigerian used,112366.0
Lagos,Toyota,Camry,2010,Blue,3.38,foreign used,89464.0
Lagos,Lexus,ES 350,2008,Red,4.3,foreign used,123000.0
Abuja,Mercedes-Benz,GLA-Class,2017,Black,18.5,foreign used,72366.0
Lagos,Lexus,GX 460 Luxury,2015,Black,15.5,foreign used,72366.0
Ibadan,Mercedes-Benz,C300,2008,Gray,4.5,foreign used,85000.0
Abuja,Lexus,LX 570 AWD,2014,Black,20.0,nigerian used,45000.0
Lagos,Lexus,ES 350,2008,Gray,4.35,foreign used,72366.0
Abuja,Honda,Accord Crosstour,2012,Green,3.5,nigerian used,65288.0
Abuja,Toyota,Tacoma,2008,Black,5.0,nigerian used,112366.0
Lagos,Toyota,Venza V6,2010,Silver,6.8,foreign used,69845.0
Abuja,Lexus,IS,2014,Black,10.5,foreign used,45216.0
